Team 1,Odds,Confidence,Team 2,Odds,Confidence,Prediction,Actual,,Bet Amount,Profit,,Confidence for Bet,Bet Amount,,,,,90 to 100,80 to 90,70 to 80,60 to 70,50 to 60
Hawks,3.14,41,Cavaliers,1.391,58,Cavaliers,Cavaliers,1,60,,,58,,,,60,,100,90,80,70,60
Bucks,2.21,12,Magic,1.699,87,Magic,Magic,1,90,0,,87,,,,90,,,,,,
Lakers,13.92,76,Thunder,1.04,23,Lakers,Thunder,0,80,-80,,76,,,,80,,,,,,
Bulls,1.49,92,Pelicans,2.74,7,Bulls,Bulls,1,100,0,,92,,,,100,,,,,,
Rockets,1.599,75,Timberwolves,2.41,24,Rockets,Rockets,1,80,0,,75,,,,80,,,,,,
Mavericks,3.43,10,Jazz,1.34,89,Jazz,Mavericks,0,90,-90,,89,,,,90,,,,,,
Kings,3,79,Suns,1.41,20,Kings,Kings,1,80,0,,79,,,,80,,,,,,
Knicks,6.76,68,Pacers,1.12,31,Knicks,Pacers,0,70,-70,,68,,,,70,,,,,,
Thunder,8.66,53,Spurs,1.08,46,Thunder,Spurs,0,60,-60,,53,,,,60,,,,,,
Jazz,1.629,3,Lakers,2.36,97,Lakers,Lakers,1,100,0,,97,,,,100,,,,,,
Clippers,2.67,55,Suns,1.5,45,Clippers,Suns,0,60,-60,,55,,,,60,,,,,,
Nuggets,5.49,66,Trail Blazers,1.17,34,Nuggets,Trail Blazers,0,70,-70,,66,,,,70,,,,,,
Grizzlies,16.52,10,Warriors,1.02,90,Warriors,Warriors,1,100,0,,90,,,,100,,,,,,
Pacers,2.67,25,Bucks,1.51,75,Bucks,Pacers,0,80,-80,,75,,,,80,,,,,,
Magic,3.8,80,Hornets,1.29,20,Magic,Hornets,0,90,-90,,80,,,,90,,,,,,
Hawks,1.22,87,Wizards,4.55,13,Hawks,Wizards,0,90,-90,,87,,,,90,,,,,,
76ers,5.09,21,Bulls,1.18,79,Bulls,Bulls,1,80,0,,79,,,,80,,,,,,
Spurs,2.71,69,Mavericks,1.49,31,Spurs,Spurs,1,70,0,,69,,,,70,,,,,,
Pelicans,5.13,27,Timberwolves,1.18,73,Timberwolves,Timberwolves,1,80,0,,73,,,,80,,,,,,
Raptors,1.481,69,Nets,2.77,31,Raptors,Raptors,1,70,0,,69,,,,70,,,,,,
Heat,2.72,71,Celtics,1.49,29,Heat,Celtics,0,80,-80,,71,,,,80,,,,,,
Kings,10.8,60,Rockets,1.05,40,Kings,Rockets,0,70,-70,,60,,,,70,,,,,,
Pistons,2.5,22,Cavaliers,1.559,78,Cavaliers,Pistons,0,80,-80,,78,,,,80,,,,,,
Rockets,9.51,12,Warriors,1.08,87,Warriors,Warriors,1,90,0,,87,,,,90,,,,,,
Pistons,2.5,12,Cavaliers,1.559,87,Cavaliers,Cavaliers,1,90,0,,87,,,,90,,,,,,
Hornets,2.68,12,Heat,1.51,87,Heat,Heat,1,90,0,,87,,,,90,,,,,,
Grizzlies,18.11,4,Spurs,1.02,95,Spurs,Spurs,1,100,0,,95,,,,100,,,,,,
Blazers,4.63,32,Clippers,1.22,67,Clippers,Clippers,1,70,0,,67,,,,70,,,,,,
Rockets,4.59,16,Warriors,1.22,83,Warriors,Warriors,1,90,0,,83,,,,90,,,,,,
Celtics,3.21,30,Hawks,1.38,69,Hawks,Hawks,1,70,0,,69,,,,70,,,,,,
Grizzlies,22.25,7,Spurs,1.01,92,Spurs,Spurs,1,100,0,,92,,,,100,,,,,,
Hornest,2.75,10,Heat,1.49,89,Heat,Heat,1,90,0,,89,,,,90,,,,,,
Blazers,4.44,36,Clippers,1.23,63,Clippers,Clippers,1,70,0,,63,,,,70,,,,,,
Pistons,6.42,11,Cavaliers,1.14,88,Cavaliers,Cavaliers,1,90,0,,88,,,,90,,,,,,
Thunder,1.2,56,Mavericks,4.96,43,Thunder,Thunder,1,60,0,,56,,,,60,,,,,,
Raptors,1.92,46,Pacers,1.94,53,Pacers,Raptors,0,60,-60,,53,,,,60,,,,,,
Warriors,1.58,59,Rockets,2.45,41,Warriors,Warriors,1,60,0,,59,,,,60,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,-980,,,,,,,,,,,,
